cliente_id,eta,anni_fedelta,distanza_pdv_km,formato_pdv,canale,uso_app,n_visite_mese,scontrino_medio,spesa_media_mensile,n_categorie,recency_giorni,pct_promozioni,reclami_12m,quota_freschi,quota_mdd,sensibilita_volantino,reparto_preferito,idx_zona_meteo,giorno_iscrizione_carta,punteggio_sondaggio,churn,spesa_prevista_12m
CN000027,78,7,4.9,Conad City,negozio,0,4,22.14,88.76,6,9,0.536,0,0.589,0.549,0.867,dispensa,7.0,3,0,1,3221.61
CN000028,42,0,3.1,Conad,negozio,1,2,33.79,80.03,1,39,0.552,1,0.662,0.494,0.68,cura_casa,11.1,19,2,1,614.71
CN000029,45,0,1.9,Conad City,misto,1,8,15.84,142.05,6,25,0.239,0,0.603,0.137,0.298,bio_benessere,16.1,11,2,0,2429.98
CN000030,43,4,0.8,Conad Superstore,misto,1,2,30.62,69.72,3,17,0.304,1,0.781,0.334,0.393,pescheria,12.6,22,3,1,1440.33
CN000031,39,5,3.2,Conad,misto,0,6,48.93,294.75,9,6,0.622,0,0.739,0.683,0.961,macelleria,16.3,2,7,0,6561.62
CN000032,34,4,0.2,Conad,negozio,0,3,19.61,56.32,3,10,0.656,0,0.562,0.753,0.831,cura_casa,16.5,28,1,0,1314.16
CN000033,56,6,7.6,Conad,misto,1,6,24.47,152.91,1,9,0.111,0,0.61,0.207,0.166,surgelati,23.9,22,8,0,2055.41
CN000034,77,14,8.7,Conad Superstore,online,1,5,21.62,117.31,3,2,0.358,0,0.547,0.413,0.364,cura_casa,15.6,28,3,0,2288.14
CN000035,71,5,2.4,Conad Superstore,negozio,0,1,41.21,40.6,3,12,0.738,1,0.836,0.745,0.968,cura_persona,14.8,17,0,1,1483.27
CN000036,60,2,6.0,Conad Superstore,negozio,0,1,41.08,44.14,2,75,0.298,0,0.682,0.385,0.495,bio_benessere,15.5,26,0,1,334.22
CN000037,18,0,2.5,Conad Superstore,negozio,1,2,39.27,74.37,4,21,0.38,0,0.649,0.42,0.579,ortofrutta,5.5,4,8,0,1308.1
CN000038,20,0,9.2,Conad,negozio,0,3,7.55,22.84,1,50,0.667,0,0.423,0.608,0.891,cura_casa,29.3,18,7,1,318.87
CN000039,64,3,8.7,Conad City,negozio,0,3,16.37,46.43,4,29,0.186,0,0.379,0.131,0.16,bio_benessere,15.2,17,5,1,738.11
CN000040,72,6,0.6,Conad City,negozio,1,5,33.23,168.06,1,10,0.188,0,0.675,0.151,0.247,ortofrutta,13.7,12,0,0,2053.37
CN000041,56,10,5.0,Conad Superstore,negozio,1,5,45.19,232.03,2,5,0.262,0,0.78,0.294,0.399,cura_persona,14.1,16,5,0,3706.24
CN000042,43,6,1.7,Conad Superstore,online,1,8,46.56,372.28,1,3,0.621,0,0.792,0.629,0.766,dispensa,17.1,4,0,0,5128.55
CN000043,68,6,3.1,Conad City,negozio,0,3,17.69,49.01,5,11,0.647,1,0.401,0.581,0.825,cura_persona,17.2,6,10,1,1225.82
CN000044,59,13,3.5,Conad City,misto,0,10,26.45,229.89,6,3,0.655,0,0.536,0.555,0.808,pescheria,20.9,25,2,0,7230.14
CN000045,65,6,0.2,Conad,negozio,1,2,31.16,75.54,1,17,0.329,0,0.718,0.475,0.548,ortofrutta,11.4,11,8,0,2546.8
CN000046,20,0,2.4,Conad,negozio,0,3,22.87,73.69,4,80,0.614,0,0.592,0.58,0.81,cura_persona,16.5,12,8,1,274.71
CN000047,53,9,1.5,Conad,misto,0,6,42.32,249.07,6,4,0.414,0,0.602,0.498,0.499,cura_casa,28.1,8,0,0,5105.8
CN000048,75,4,9.5,Conad Superstore,negozio,0,2,31.73,70.17,1,41,0.544,0,0.695,0.464,0.648,macelleria,16.1,13,5,1,704.3
CN000049,56,0,2.4,Conad,negozio,1,1,30.66,30.79,6,28,0.621,0,0.616,0.59,0.775,dispensa,23.1,18,0,0,1104.25
CN000050,62,10,3.4,Conad,negozio,1,8,31.89,293.7,3,10,0.753,0,0.505,0.722,0.926,pescheria,11.0,7,1,0,3638.69
CN000051,49,2,3.0,Conad,negozio,0,6,22.71,127.84,3,26,0.28,0,0.616,0.414,0.405,bio_benessere,15.1,10,6,1,1609.08
CN000052,50,10,7.6,Conad,negozio,0,1,39.46,35.41,1,11,0.333,0,0.625,0.38,0.356,bio_benessere,8.6,19,0,1,2154.64
CN000053,69,4,1.4,Conad,negozio,0,4,6.39,22.69,1,38,0.585,0,0.45,0.706,0.748,surgelati,12.4,21,9,0,744.53
CN000054,38,0,6.3,Conad,negozio,1,6,24.96,144.7,5,30,0.674,0,0.561,0.737,0.81,pescheria,12.7,7,5,0,2071.94
CN000055,36,8,2.8,Conad Superstore,online,1,7,31.92,182.24,2,5,0.232,0,0.587,0.298,0.364,cura_persona,21.0,18,2,0,4069.03
CN000056,41,3,6.0,Conad Superstore,negozio,1,6,30.8,182.3,4,6,0.193,0,0.645,0.184,0.153,cura_persona,8.1,16,3,1,3066.79
CN000057,48,2,2.5,Conad,negozio,0,2,19.03,35.07,1,30,0.668,0,0.692,0.622,0.812,dispensa,15.7,17,3,0,639.12
CN000058,24,0,2.5,Conad City,negozio,1,1,36.15,34.62,4,27,0.139,0,0.583,0.062,0.035,bio_benessere,15.8,7,0,1,1220.92
CN000059,59,1,6.8,Conad Superstore,negozio,0,1,21.8,22.98,3,49,0.151,0,0.608,0.179,0.105,gastronomia,15.6,20,9,1,355.49
CN000060,46,0,4.9,Conad,online,0,6,50.96,323.01,5,9,0.361,0,0.641,0.397,0.422,pescheria,22.3,3,3,0,3623.51
CN000061,61,11,0.3,Conad,negozio,0,1,5.0,5.0,3,9,0.299,0,0.478,0.411,0.479,bio_benessere,16.7,2,4,0,1314.81
CN000062,18,0,0.2,Conad,negozio,0,2,25.1,55.46,2,42,0.122,1,0.547,0.034,0.239,ortofrutta,20.7,21,8,1,415.29
CN000063,61,4,0.8,Conad,negozio,0,2,18.63,34.68,1,90,0.427,0,0.658,0.378,0.631,surgelati,18.7,1,5,1,276.19
CN000064,68,10,3.2,Conad Superstore,negozio,0,8,36.79,237.51,11,5,0.401,0,0.692,0.42,0.618,bio_benessere,15.2,21,9,0,10121.81
CN000065,55,3,6.1,Conad,negozio,0,5,35.23,141.42,10,43,0.26,0,0.665,0.312,0.263,ortofrutta,17.2,25,5,0,2479.17
CN000066,48,5,1.0,Conad,negozio,0,5,19.94,110.21,5,12,0.811,1,0.697,0.832,0.971,cura_casa,21.0,28,9,0,1833.01
CN000067,61,9,1.5,Conad Superstore,negozio,0,2,23.43,48.59,1,26,0.478,0,0.623,0.527,0.643,macelleria,12.6,13,10,0,941.12
CN000068,67,4,0.2,Conad City,negozio,0,2,7.92,17.58,3,23,0.59,0,0.47,0.532,0.753,gastronomia,12.5,28,4,0,731.99
CN000069,56,5,4.8,Conad,negozio,1,10,38.45,477.45,4,7,0.084,0,0.639,0.182,0.119,macelleria,16.6,13,0,0,5403.12
CN000070,57,13,1.2,Conad,misto,1,13,26.85,336.08,7,3,0.102,0,0.511,0.218,0.121,dispensa,18.0,23,5,0,8321.88
CN000071,73,9,4.3,Conad,misto,1,5,5.02,28.6,2,5,0.437,0,0.44,0.399,0.637,dispensa,18.5,28,4,0,1869.85
CN000072,59,4,5.2,Conad City,online,0,5,6.49,30.15,1,12,0.736,0,0.6,0.776,0.924,dispensa,16.1,3,7,0,1012.58
CN000073,36,3,2.1,Conad City,negozio,0,5,9.63,45.41,2,4,0.161,0,0.355,0.236,0.226,cura_persona,9.9,28,1,0,1418.42
CN000074,67,4,9.0,Conad,negozio,0,1,29.97,32.69,2,38,0.488,0,0.569,0.408,0.587,cura_persona,21.6,1,9,1,700.65
CN000075,46,5,2.1,Conad,negozio,1,2,16.37,28.59,2,57,0.059,0,0.637,0.227,0.184,cura_casa,8.9,7,8,1,659.11
CN000076,48,2,0.6,Conad Superstore,negozio,1,1,37.37,31.39,2,114,0.317,0,0.649,0.264,0.314,bio_benessere,13.3,23,4,1,323.47
CN000077,50,5,0.2,Conad City,online,1,10,19.16,167.95,5,6,0.401,0,0.559,0.507,0.621,gastronomia,19.0,15,1,0,4561.1
CN000078,63,13,7.2,Conad City,misto,0,7,26.24,167.07,6,4,0.255,1,0.547,0.385,0.233,cura_persona,16.4,20,3,0,6357.06
CN000079,74,8,0.7,Conad,negozio,0,6,36.41,195.28,8,13,0.158,0,0.753,0.205,0.184,gastronomia,16.3,6,4,0,5079.23
CN000080,48,3,1.9,Conad City,negozio,0,2,18.69,34.76,2,14,0.244,0,0.384,0.122,0.237,cura_casa,14.5,28,8,1,1003.71
CN000081,74,4,5.8,Conad City,negozio,0,1,26.77,29.42,1,15,0.078,0,0.54,0.136,0.103,cura_persona,15.1,11,8,0,782.4
CN000082,50,3,1.9,Conad,negozio,0,1,24.16,25.13,2,9,0.532,0,0.593,0.488,0.783,surgelati,15.2,1,0,0,1187.03
CN000083,69,10,1.2,Conad,negozio,1,11,18.86,198.96,6,2,0.497,0,0.66,0.485,0.637,ortofrutta,14.1,25,4,0,5979.88
CN000084,51,0,5.7,Conad,misto,1,4,23.31,97.94,1,10,0.447,0,0.6,0.561,0.612,macelleria,20.7,1,5,0,1192.69
CN000085,41,4,14.2,Conad Superstore,negozio,0,3,23.85,84.47,2,23,0.133,0,0.63,0.189,0.299,pescheria,17.5,15,4,1,755.27
CN000086,77,7,1.8,Conad,negozio,0,3,25.67,80.74,1,44,0.598,0,0.615,0.637,0.819,cura_persona,11.2,3,0,0,1140.19
CN000087,39,6,3.2,Conad City,misto,1,8,15.35,135.24,7,4,0.537,1,0.573,0.529,0.75,macelleria,19.1,21,0,0,4310.12
CN000088,38,0,5.0,Conad City,negozio,0,5,31.91,155.29,4,12,0.408,0,0.672,0.492,0.559,cura_casa,15.8,28,7,1,2068.22
CN000089,29,0,3.5,Conad Superstore,negozio,0,2,35.66,76.63,2,18,0.332,1,0.636,0.421,0.462,macelleria,10.9,24,8,1,1035.81
CN000090,67,5,3.3,Conad City,negozio,0,2,28.43,62.21,6,36,0.189,0,0.598,0.165,0.355,macelleria,13.7,16,2,1,1114.58
CN000091,71,4,0.8,Conad,negozio,0,3,36.69,88.49,1,23,0.43,0,0.59,0.405,0.561,pescheria,17.2,16,5,0,1555.86
CN000092,54,2,0.2,Conad City,negozio,1,3,25.37,96.94,1,11,0.683,1,0.479,0.773,0.943,dispensa,16.2,26,10,1,1566.84
CN000093,33,3,2.9,Conad,negozio,0,11,28.7,301.33,5,25,0.627,1,0.499,0.582,0.762,surgelati,5.0,20,9,0,2801.61
CN000094,48,2,5.1,Conad City,negozio,0,3,19.14,54.25,5,20,0.304,0,0.558,0.34,0.261,macelleria,8.8,6,10,0,1110.12
CN000095,43,6,1.0,Conad City,negozio,1,5,5.0,24.77,4,9,0.516,0,0.437,0.567,0.685,cura_casa,8.9,15,6,0,1630.99
CN000096,33,2,1.2,Conad,negozio,1,2,9.86,23.75,1,6,0.104,0,0.498,0.199,0.164,surgelati,14.9,12,8,0,1301.8
CN000097,41,7,2.7,Conad,negozio,1,2,14.69,24.56,2,5,0.432,0,0.623,0.598,0.77,ortofrutta,19.6,7,5,0,1218.0
CN000098,56,5,1.3,Conad,negozio,0,3,14.29,46.08,1,8,0.229,0,0.6,0.313,0.295,bio_benessere,13.9,4,5,0,1381.22
CN000099,39,9,3.8,Conad,online,1,23,35.55,792.92,19,2,0.517,0,0.634,0.58,0.809,pescheria,15.9,6,1,0,18000.0
CN000100,52,4,0.2,Conad Superstore,negozio,0,6,16.93,108.21,5,31,0.832,0,0.386,0.9,1.0,dispensa,14.2,21,1,0,1541.36
CN000101,21,0,1.2,Conad City,negozio,1,3,17.66,49.69,2,30,0.336,0,0.42,0.168,0.416,surgelati,11.2,23,9,1,674.81
CN000102,73,9,2.9,Conad,negozio,0,2,35.12,69.26,5,32,0.924,2,0.668,0.87,0.963,gastronomia,9.3,16,3,0,1245.03
CN000103,42,0,4.9,Conad City,negozio,0,6,16.64,93.19,3,31,0.484,1,0.535,0.498,0.614,ortofrutta,21.5,11,10,1,1003.4
CN000104,61,4,7.5,Conad,negozio,0,1,28.31,28.7,5,33,0.303,0,0.628,0.307,0.333,bio_benessere,20.7,13,0,0,1105.36
CN000105,51,2,1.9,Conad,negozio,1,7,10.71,69.56,7,14,0.256,0,0.577,0.334,0.229,bio_benessere,13.7,15,10,0,2316.65
CN000106,54,2,7.0,Conad Superstore,negozio,0,2,24.89,50.23,3,43,0.747,1,0.775,0.793,0.971,dispensa,9.8,10,0,1,539.59
CN000107,31,0,2.1,Conad,negozio,1,5,21.03,109.7,3,27,0.427,0,0.617,0.509,0.653,cura_casa,18.8,7,2,0,1373.24
CN000108,37,0,14.0,Conad City,negozio,0,1,6.32,7.84,3,36,0.19,0,0.459,0.294,0.23,ortofrutta,12.6,21,4,1,397.78
CN000109,37,4,4.2,Conad Superstore,misto,1,5,42.87,218.36,7,11,0.333,0,0.63,0.458,0.485,pescheria,25.9,6,10,0,4584.6
CN000110,48,6,4.5,Conad City,misto,1,5,5.05,23.97,2,12,0.503,0,0.384,0.619,0.7,cura_persona,8.5,2,7,0,1666.32
CN000111,68,13,1.1,Conad City,negozio,0,11,27.11,278.28,5,5,0.301,0,0.478,0.37,0.455,dispensa,9.0,3,10,0,5347.23
CN000112,54,2,6.7,Conad Superstore,negozio,0,2,32.5,59.59,4,37,0.449,0,0.572,0.421,0.743,surgelati,3.9,16,4,1,847.15
CN000113,34,0,14.6,Conad,misto,1,3,17.22,48.99,5,14,0.786,0,0.578,0.643,0.992,cura_persona,12.6,19,6,0,833.62
CN000114,49,5,3.1,Conad Superstore,negozio,0,6,14.18,79.2,1,32,0.193,0,0.545,0.171,0.116,surgelati,19.8,12,6,1,1360.13
CN000115,47,2,2.1,Conad City,negozio,0,1,12.45,14.08,1,48,0.567,3,0.495,0.543,0.791,cura_persona,13.4,24,6,1,217.87
CN000116,43,0,0.3,Conad City,negozio,1,6,12.13,72.84,5,14,0.389,1,0.557,0.362,0.478,gastronomia,7.4,16,5,0,2024.4
CN000117,48,8,2.9,Conad,misto,1,4,20.63,80.22,5,7,0.206,0,0.721,0.382,0.238,bio_benessere,7.3,22,10,0,2886.12
CN000118,59,7,1.8,Conad City,online,0,1,18.52,18.83,2,8,0.611,0,0.607,0.648,0.799,cura_persona,5.8,3,8,0,1321.3
CN000119,37,8,7.9,Conad,misto,1,10,52.41,583.61,10,4,0.269,0,0.755,0.109,0.199,macelleria,16.2,11,8,0,11534.5
CN000120,43,3,3.9,Conad City,negozio,0,5,18.07,82.62,4,4,0.15,0,0.505,0.171,0.073,bio_benessere,6.4,27,8,0,2004.09
CN000121,63,2,3.0,Conad City,negozio,0,5,8.86,43.7,1,25,0.475,0,0.566,0.41,0.559,cura_casa,11.4,13,5,1,1206.5
CN000122,55,3,5.1,Conad,negozio,0,1,27.35,32.62,2,16,0.326,0,0.59,0.376,0.433,pescheria,15.9,1,10,1,1039.12
CN000123,67,6,3.5,Conad City,online,0,6,19.09,101.44,8,45,0.174,0,0.641,0.198,0.167,gastronomia,21.4,14,9,0,1529.68
CN000124,70,6,0.2,Conad City,negozio,0,6,35.55,196.33,5,13,0.104,0,0.694,0.122,0.104,macelleria,18.6,21,2,0,3761.8
CN000125,28,0,1.2,Conad City,negozio,0,2,31.36,66.95,5,34,0.706,0,0.575,0.803,0.966,gastronomia,15.9,10,1,0,891.76
CN000126,52,2,1.1,Conad City,negozio,0,1,24.73,23.49,4,44,0.434,2,0.728,0.484,0.551,ortofrutta,25.6,22,0,1,596.1
CN000127,40,4,7.5,Conad,misto,0,2,43.59,83.17,5,24,0.358,0,0.761,0.485,0.458,ortofrutta,10.7,9,1,1,1599.12
CN000128,30,4,4.7,Conad,misto,0,4,20.73,84.82,2,7,0.823,0,0.414,0.774,0.911,surgelati,16.7,5,7,0,1053.38
CN000129,36,4,8.7,Conad,misto,1,8,26.15,191.04,1,4,0.593,0,0.385,0.583,0.773,bio_benessere,17.4,15,8,0,2012.19
CN000130,43,3,2.8,Conad,misto,1,13,15.51,213.5,5,5,0.709,1,0.63,0.703,0.859,dispensa,11.7,12,7,0,5128.98
CN000131,44,3,3.8,Conad City,misto,0,5,13.31,82.98,3,7,0.236,1,0.565,0.251,0.208,macelleria,10.6,6,5,0,1264.03
CN000132,39,5,0.3,Conad City,online,0,1,7.67,6.66,1,10,0.162,0,0.519,0.211,0.194,dispensa,14.1,6,6,1,812.11
CN000133,48,7,6.4,Conad Superstore,negozio,1,7,45.17,284.14,4,7,0.556,0,0.826,0.542,0.729,ortofrutta,14.6,26,4,0,4672.35
CN000134,85,9,4.4,Conad City,negozio,0,3,20.38,74.37,2,31,0.526,0,0.393,0.508,0.642,gastronomia,6.4,11,1,0,777.47
CN000135,22,0,11.8,Conad Superstore,negozio,0,1,15.39,14.41,1,95,0.562,0,0.505,0.665,0.869,dispensa,12.3,28,5,1,144.43
CN000136,65,9,0.9,Conad City,negozio,1,4,11.84,46.5,4,20,0.058,0,0.355,0.109,0.135,cura_casa,24.1,19,0,0,1651.74
CN000137,48,0,4.6,Conad,negozio,0,1,33.83,29.19,1,18,0.489,0,0.665,0.542,0.73,pescheria,20.4,13,5,1,567.81
CN000138,41,5,3.2,Conad,negozio,1,6,28.99,202.4,6,13,0.557,1,0.695,0.5,0.891,pescheria,11.8,8,6,0,3095.04
CN000139,18,0,4.7,Conad,online,1,8,46.48,400.83,6,9,0.697,0,0.774,0.589,0.864,dispensa,27.3,6,6,0,4669.71
CN000140,59,3,1.8,Conad,misto,1,10,64.03,656.35,17,3,0.179,1,0.725,0.418,0.186,pescheria,8.4,25,7,0,18000.0
CN000141,26,7,0.5,Conad Superstore,misto,1,4,41.2,164.38,3,4,0.506,0,0.675,0.445,0.694,surgelati,21.5,14,8,0,3178.6
CN000142,60,9,1.0,Conad,negozio,0,8,18.02,136.03,5,4,0.275,0,0.472,0.243,0.326,cura_persona,17.6,19,2,1,3441.16
CN000143,74,10,8.1,Conad,negozio,1,4,5.0,19.58,2,6,0.231,0,0.41,0.452,0.378,cura_casa,14.9,20,6,0,1676.04
CN000144,29,0,9.3,Conad Superstore,negozio,1,1,39.38,41.73,2,14,0.234,0,0.781,0.174,0.182,gastronomia,20.1,13,9,1,1081.23
CN000145,66,9,0.8,Conad City,negozio,1,10,11.24,101.0,4,7,0.229,0,0.515,0.243,0.333,cura_casa,14.9,9,5,0,3838.0
CN000146,48,4,6.5,Conad,negozio,1,4,18.2,85.0,1,18,0.263,0,0.564,0.213,0.311,gastronomia,18.8,26,9,0,1061.65
CN000147,18,0,1.9,Conad Superstore,negozio,0,10,30.98,359.83,5,17,0.176,0,0.67,0.183,0.239,dispensa,18.2,17,4,0,4595.39
CN000148,30,9,0.9,Conad Superstore,misto,1,8,35.4,308.06,5,1,0.315,2,0.776,0.17,0.251,ortofrutta,10.5,21,5,0,3641.39
CN000149,51,7,8.0,Conad City,negozio,1,6,34.78,218.53,5,6,0.187,0,0.515,0.179,0.099,pescheria,15.2,16,2,0,3832.03
CN000150,54,7,4.6,Conad Superstore,online,1,5,39.7,217.3,2,11,0.649,1,0.592,0.737,0.957,pescheria,13.0,7,5,0,2414.73
CN000151,24,0,5.6,Conad City,misto,1,2,18.37,44.17,2,40,0.291,0,0.554,0.303,0.417,cura_casa,22.8,14,9,0,742.48
CN000152,48,4,1.8,Conad,online,1,3,20.9,58.8,2,5,0.427,0,0.636,0.528,0.575,pescheria,11.0,7,8,0,1565.84
CN000153,60,12,4.2,Conad,online,1,7,20.35,157.22,2,5,0.13,2,0.519,0.089,0.093,surgelati,7.9,21,0,0,2417.91
CN000154,63,9,2.0,Conad,misto,0,6,16.41,85.41,6,11,0.697,0,0.639,0.765,0.799,pescheria,13.8,25,7,0,3065.33
CN000155,42,4,10.8,Conad,misto,1,4,22.01,90.41,7,11,0.351,0,0.626,0.45,0.465,bio_benessere,14.7,3,3,1,1684.71
CN000156,55,6,3.0,Conad City,negozio,0,6,40.16,247.87,6,10,0.229,0,0.611,0.42,0.332,bio_benessere,6.9,5,10,0,5220.28
CN000157,64,9,0.4,Conad,misto,0,6,27.21,174.34,7,5,0.239,0,0.753,0.433,0.356,ortofrutta,11.4,10,7,0,3623.12
CN000158,61,10,0.3,Conad City,negozio,0,4,24.86,87.79,7,6,0.605,1,0.671,0.642,0.865,ortofrutta,23.3,8,6,0,3898.39
CN000159,61,9,0.5,Conad City,negozio,0,4,9.58,37.28,5,24,0.0,0,0.388,0.013,0.0,pescheria,12.4,5,1,0,1375.65
CN000160,50,8,4.0,Conad,misto,0,3,22.41,70.21,2,4,0.276,1,0.46,0.308,0.252,pescheria,16.3,27,10,0,1395.16
CN000161,47,3,1.4,Conad,negozio,1,5,8.86,46.33,4,38,0.332,2,0.483,0.316,0.434,dispensa,21.8,7,6,1,762.01
CN000162,52,4,2.0,Conad,negozio,1,5,20.3,101.58,2,22,0.286,1,0.582,0.493,0.352,cura_casa,18.4,12,0,1,1122.6
CN000163,37,2,3.4,Conad,misto,1,5,46.87,241.68,10,39,0.886,2,0.753,0.855,0.967,ortofrutta,18.1,28,1,1,2675.41
CN000164,65,0,2.3,Conad City,negozio,0,1,8.29,8.37,2,39,0.299,0,0.418,0.48,0.396,dispensa,15.3,19,6,1,430.27
CN000165,25,0,5.6,Conad Superstore,misto,1,8,43.81,326.15,8,5,0.597,0,0.795,0.561,0.77,ortofrutta,19.1,20,7,0,5009.8
CN000166,40,3,8.0,Conad,negozio,1,2,11.31,22.24,1,26,0.747,0,0.53,0.778,0.903,dispensa,10.5,3,5,1,661.15
CN000167,47,3,7.6,Conad City,negozio,1,4,28.02,97.55,1,22,0.438,0,0.527,0.544,0.758,cura_persona,17.0,11,10,0,1231.66
CN000168,55,6,6.4,Conad City,online,1,3,30.38,88.94,8,16,0.173,0,0.701,0.326,0.223,bio_benessere,16.9,14,5,0,3288.44
CN000169,58,6,4.6,Conad Superstore,negozio,0,2,32.8,63.09,3,6,0.183,0,0.655,0.115,0.132,bio_benessere,16.3,13,10,1,1549.16
CN000170,70,8,6.9,Conad,negozio,1,2,24.53,44.86,4,36,0.486,0,0.657,0.49,0.679,ortofrutta,18.4,19,6,1,936.89
CN000171,49,5,2.5,Conad City,online,0,6,14.11,83.84,3,20,0.699,0,0.486,0.692,0.914,cura_casa,22.6,7,2,0,1496.29
CN000172,37,3,2.2,Conad Superstore,misto,0,7,47.64,320.22,2,16,0.519,1,0.64,0.622,0.72,pescheria,14.3,10,1,0,2725.44
CN000173,46,1,4.6,Conad,negozio,0,3,18.8,62.84,4,17,0.706,0,0.462,0.681,0.835,cura_persona,13.3,16,2,0,775.14
CN000174,43,4,11.7,Conad,negozio,0,3,8.2,27.71,2,31,0.851,0,0.513,0.813,0.964,surgelati,5.6,26,1,0,529.8
CN000175,56,7,5.9,Conad City,negozio,1,11,5.06,44.09,4,4,0.491,0,0.354,0.459,0.629,surgelati,18.5,13,3,0,2694.17
CN000176,32,0,5.7,Conad,negozio,0,2,25.36,49.2,2,60,0.077,0,0.56,0.242,0.219,cura_casa,8.4,2,8,1,337.8
CN000177,45,1,2.8,Conad City,negozio,0,3,32.07,95.12,5,26,0.325,0,0.699,0.414,0.541,pescheria,20.6,14,10,1,1387.65
CN000178,72,7,1.9,Conad City,negozio,0,7,15.06,106.24,5,23,0.792,0,0.543,0.598,0.949,pescheria,20.3,23,3,0,2034.79
